model,split,f1,precision,recall,micro_f1,macro_f1,weighted_f1
camembert-base_3,test,0.8948952382936552,0.8811421246707967,0.9090966254453994,0.8948952382936552,0.881563863724856,0.8949028410458691
camembert-bio_1,test,0.8938432723128953,0.8814805408068562,0.9065814294697129,0.8938432723128953,0.8800533456977572,0.8938594018788338
camembert-base_2,test,0.8937258110625989,0.8822815826090045,0.905491511213582,0.8937258110625989,0.8855826716610082,0.8937410607163594
camembert-base_1,test,0.8935695881370014,0.8797233465616134,0.9078599874240201,0.8935695881370014,0.88273225290775,0.8935949423345407
camembert-bio_2,test,0.8928612516612795,0.8864306033930447,0.8994131209390066,0.8928612516612795,0.8810623248188467,0.8928348366613115
bert-base-multilingual_1,test,0.892387960876883,0.8820479896689637,0.9029763152378957,0.892387960876883,0.8809896941621338,0.8923869742271057
bert-base-multilingual_2,test,0.8902111290411892,0.8795918901882589,0.9011108782225948,0.8902111290411892,0.8797346241926627,0.8902249086756024
xlm-roberta_1,test,0.8867455394210954,0.8698471053958471,0.9043177530915951,0.8867455394210954,0.8805240531075496,0.8868107206661098
fr-albert_1,test,0.8533605595423467,0.8477080717935396,0.8590966254453993,0.8533605595423467,0.8336805615258428,0.853297540764165
camembert-base_2,val,0.9015086905470872,0.889762492231883,0.9136142625607778,0.9015086905470872,0.8923849525505216,0.9015330871546648
camembert-bio_2,val,0.8970340945718813,0.8920373780672902,0.9020953466931545,0.8970340945718813,0.8726680982499506,0.8970632997792665
camembert-bio_1,val,0.8952754408406646,0.8864082098936468,0.9043868921775898,0.8952754408406646,0.8878235748661085,0.8954297324478301
bert-base-multilingual_1,val,0.8945070567583787,0.8886288373099692,0.9004665629860031,0.8945070567583787,0.8783673067830169,0.894499503222192
camembert-base_3,val,0.8936788251700252,0.8836906045781003,0.903915343915344,0.8936788251700252,0.8685387019700694,0.8937427753795177
camembert-base_1,val,0.8899485437871262,0.8788671299989209,0.9013227513227513,0.8899485437871262,0.8672314072335503,0.8901203162016472
xlm-roberta_1,val,0.8806231820347122,0.8664006656693246,0.8953276195742328,0.8806231820347122,0.8623988610709858,0.880751884554542
bert-base-multilingual_2,val,0.8798087391772823,0.8709522988989002,0.8888640803795702,0.8798087391772823,0.8575310448153719,0.8799508169323993
fr-albert_1,val,0.8466468552163462,0.8422526911454983,0.8510908004433306,0.8466468552163462,0.8358378857008488,0.8465271616617274
